"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 29 16:23:18 GMT 2024","Tue Oct 29 16:23:19 GMT 2024","1050","","Console Error Check on Fashion Hub","","Verify no console errors when visiting Home page","","Verify no console errors when visiting Home page",""
"failed","Tue Oct 29 16:22:59 GMT 2024","Tue Oct 29 16:23:14 GMT 2024","14910","","Console Error Check on Fashion Hub","","Verify no console errors when visiting Home page","","Verify no console errors when visiting Home page",""
"passed","Tue Oct 29 16:23:14 GMT 2024","Tue Oct 29 16:23:26 GMT 2024","12186","","Retrieve Open Pull Requests","","Export a list of open pull requests to CSV format","","Export a list of open pull requests to CSV format",""
"passed","Tue Oct 29 16:23:18 GMT 2024","Tue Oct 29 16:23:19 GMT 2024","1539","","Console Error Check on Fashion Hub","","Verify no console errors when visiting Home page","","Verify no console errors when visiting Home page",""
"passed","Tue Oct 29 16:23:14 GMT 2024","Tue Oct 29 16:23:17 GMT 2024","3512","","Console Error Check on Fashion Hub","","Verify no console errors when visiting Home page","","Verify no console errors when visiting Home page",""
"passed","Tue Oct 29 16:22:59 GMT 2024","Tue Oct 29 16:23:16 GMT 2024","16910","","Status code validation for links on Fashion Hub","","Verify all links return valid status codes","","Verify all links return valid status codes",""
"passed","Tue Oct 29 16:22:59 GMT 2024","Tue Oct 29 16:23:14 GMT 2024","15084","","Customer Login to Fashion Hub","","Verify customer cannot log in with invalid credentials","","Verify customer cannot log in with invalid credentials",""
"passed","Tue Oct 29 16:23:14 GMT 2024","Tue Oct 29 16:23:18 GMT 2024","3751","","Customer Login to Fashion Hub","","Verify customer is logged in successfully with valid credentials","","Verify customer is logged in successfully with valid credentials",""
"passed","Tue Oct 29 16:22:59 GMT 2024","Tue Oct 29 16:23:18 GMT 2024","19092","","Retrieve Open Pull Requests","","Export a list of open pull requests to CSV format","","Export a list of open pull requests to CSV format",""
"passed","Tue Oct 29 16:23:16 GMT 2024","Tue Oct 29 16:23:19 GMT 2024","2821","","Status code validation for links on Fashion Hub","","Verify all links return valid status codes","","Verify all links return valid status codes",""
